id,true_class,pred_class,true_strength,pred_strength,absolute_error,valid_length,observed_text,observed_audio,observed_vision
130456$_$3,2,0,2.3333332538604736,-1.3439286947250366,3.6772618293762207,21,21,19,19
2S00zYaVrtc$_$10,0,2,-2.6666667461395264,0.9649426937103271,3.6316094398498535,20,20,18,18
102858$_$4,2,0,3.0,-0.49037760496139526,3.49037766456604,50,50,48,48
f_ZJ7L14oYQ$_$21,2,0,2.0,-1.4208509922027588,3.420850992202759,24,24,22,22
121128$_$5,2,1,3.0,-0.2609553933143616,3.260955333709717,9,9,7,7
33170$_$3,0,2,-2.0,1.0900641679763794,3.09006404876709,36,36,34,34
qmMSumMloAs$_$2,2,0,2.6666667461395264,-0.13755223155021667,2.8042190074920654,43,43,41,41
Es9MkKsMsjU$_$2,0,2,-1.6666666269302368,1.009374976158142,2.676041603088379,45,45,43,43
102858$_$6,2,1,2.6666667461395264,-0.005627529229968786,2.6722943782806396,28,28,26,26
Es9MkKsMsjU$_$7,0,2,-1.6666666269302368,1.0017576217651367,2.668424129486084,38,38,36,36
Vuay0mVKkik$_$3,0,2,-2.0,0.654640257358551,2.6546401977539062,28,28,26,26
5kaCGzjYukM$_$5,0,1,-2.3333332538604736,0.2788117527961731,2.612144947052002,34,34,32,32
