scenario,model,missing_modality,position,nominal_rate,accuracy,macro_f1,mae,pearson
complete,current,none,none,0.0,0.6002747252747253,0.5671591501018115,0.6778661608695984,0.5439490862040881
complete,two_seed,none,none,0.0,0.6043956043956044,0.5763138932643797,0.6510674357414246,0.5460603247092399
text_middle_40,current,text,middle,0.4,0.5659340659340659,0.5347861737180214,0.7128013372421265,0.48959556475636234
text_middle_40,two_seed,text,middle,0.4,0.5673076923076923,0.5419579517140493,0.680436372756958,0.49410625921943985
audio_middle_40,current,audio,middle,0.4,0.5961538461538461,0.5638061733889773,0.6712866425514221,0.5490868264309274
audio_middle_40,two_seed,audio,middle,0.4,0.592032967032967,0.5639442726870015,0.6463179588317871,0.5499896001087743
vision_middle_40,current,vision,middle,0.4,0.6016483516483516,0.5677002110153045,0.673876166343689,0.5443781255757429
vision_middle_40,two_seed,vision,middle,0.4,0.5947802197802198,0.5677719927591741,0.6493608951568604,0.5458846057943477
audio_vision_middle_40,current,audio+vision,middle,0.4,0.5975274725274725,0.5644738011150352,0.6686338782310486,0.5494255646638811
audio_vision_middle_40,two_seed,audio+vision,middle,0.4,0.592032967032967,0.5657324795255829,0.6448440551757812,0.5497150999749894
