id,true_class,pred_class,true_strength,pred_strength,absolute_error,valid_length,observed_text,observed_audio,observed_vision
102858$_$4,2,0,3.0,-0.9969524145126343,3.996952533721924,50,50,48,48
241629$_$3,2,0,2.3333332538604736,-1.274956464767456,3.6082897186279297,30,30,28,28
f_ZJ7L14oYQ$_$21,2,0,2.0,-1.334383487701416,3.334383487701416,24,24,22,22
TWszOxkOV0w$_$1,0,2,-2.3333332538604736,0.8224442005157471,3.1557774543762207,40,40,38,38
Vuay0mVKkik$_$3,0,2,-2.0,1.1131597757339478,3.113159656524658,28,28,26,26
188343$_$13,2,0,1.0,-1.9686894416809082,2.968689441680908,44,44,42,42
f_ZJ7L14oYQ$_$27,2,0,1.6666666269302368,-1.1980618238449097,2.8647284507751465,28,28,26,26
102858$_$6,2,1,2.6666667461395264,-0.041778672486543655,2.7084453105926514,28,28,26,26
102858$_$20,2,0,2.0,-0.613542914390564,2.6135430335998535,26,26,24,24
121128$_$5,2,1,3.0,0.4320535361766815,2.567946434020996,9,9,7,7
K0m1tO3Ybyc$_$8,0,2,-1.3333333730697632,1.1588332653045654,2.492166519165039,34,34,32,32
32681$_$5,2,0,0.3333333432674408,-2.018221378326416,2.3515546321868896,41,41,39,39
