model,scenario,accuracy,macro_f1,mae,pearson
baseline,complete,0.6008836524300442,0.5603455789404652,0.717601478099823,0.5358953540145535
baseline,text_middle_40,0.5802650957290133,0.544238817344723,0.7325062155723572,0.49808229888733363
baseline,audio_middle_40,0.5876288659793815,0.5481210253275258,0.7206357717514038,0.5346060378680726
baseline,vision_middle_40,0.5949926362297496,0.555898584314506,0.7182623744010925,0.5347080934621795
baseline,audio_vision_middle_40,0.5861561119293078,0.5485836144684577,0.7224879860877991,0.5326417724284971
consistency,complete,0.6023564064801178,0.5700873426083924,0.7562363743782043,0.5023852937343432
consistency,text_middle_40,0.5537555228276878,0.529665675055552,0.7552932500839233,0.49135949340915025
consistency,audio_middle_40,0.5979381443298969,0.5665936741850149,0.7558904886245728,0.503563575297611
consistency,vision_middle_40,0.5994108983799705,0.5683999570707939,0.7571455240249634,0.49995604885525724
consistency,audio_vision_middle_40,0.5905743740795287,0.5612735960189362,0.7568934559822083,0.5006359200399286
