mode,epoch,train_loss,selection_score,complete_accuracy,complete_macro_f1,complete_mae
baseline,1,1.2848424994668295,0.2032626765635029,0.5360824742268041,0.4004272620039224,0.7909685969352722
baseline,2,1.1438287233197413,0.3221347900282781,0.5994108983799705,0.5545665966718598,0.7445250749588013
baseline,3,1.0860432414121406,0.3238618346014185,0.5949926362297496,0.5476230308223221,0.7384756207466125
baseline,4,1.0334866005320882,0.3242683097825623,0.5994108983799705,0.5453742353988434,0.7406914830207825
baseline,5,0.9909816661546397,0.33567963309689974,0.6008836524300442,0.5603455789404652,0.717601478099823
baseline,6,0.959179958631826,0.3257938617567841,0.6023564064801178,0.5484819094022403,0.7303098440170288
baseline,7,0.8813126988189165,0.3150506588811966,0.5670103092783505,0.5500290834036964,0.7363795638084412
baseline,8,0.8167997349140256,0.31129371246477255,0.5949926362297496,0.5489466799765929,0.7756942510604858
consistency,1,1.2791872745336488,0.2107612527595662,0.5419734904270986,0.4053531108510362,0.782588541507721
consistency,2,1.138567681922469,0.30085242939769935,0.5817378497790869,0.5399504282292478,0.7567263841629028
consistency,3,1.073890792769055,0.3218138756498902,0.5876288659793815,0.5592030376297182,0.7393602132797241
consistency,4,1.0402878411980563,0.328025684657759,0.6023564064801178,0.5700873426083924,0.7562363743782043
consistency,5,0.9761054723761803,0.3243958800212179,0.6067746686303387,0.5424660850554431,0.7536588907241821
consistency,6,0.9365306801574175,0.30457601910654136,0.5832106038291606,0.5287052457427189,0.7461620569229126
consistency,7,0.867715599925019,0.29802660906138856,0.5655375552282769,0.5531784007232302,0.7632089257240295
