model,scenario,accuracy,macro_f1,mae,pearson
baseline,complete,0.6008836524300442,0.5603455789404652,0.717601478099823,0.5358953540145535
baseline,text_middle_40,0.5802650957290133,0.544238817344723,0.7325062155723572,0.49808229888733363
baseline,audio_middle_40,0.5876288659793815,0.5481210253275258,0.7206357717514038,0.5346060378680726
baseline,vision_middle_40,0.5949926362297496,0.555898584314506,0.7182623744010925,0.5347080934621795
baseline,audio_vision_middle_40,0.5861561119293078,0.5485836144684577,0.7224879860877991,0.5326417724284971
text_focus,complete,0.6156111929307806,0.5601998799796889,0.7560769319534302,0.5313508518187482
text_focus,text_middle_40,0.5949926362297496,0.5428831909487593,0.7597198486328125,0.503367878704893
text_focus,audio_middle_40,0.6126656848306333,0.5627914335881652,0.7506016492843628,0.5284404536745391
text_focus,vision_middle_40,0.6215022091310751,0.567136825945116,0.748996376991272,0.5340237744434093
text_focus,audio_vision_middle_40,0.6200294550810015,0.5719484286001549,0.7444660067558289,0.5308787898172745
