sample_id,true_class,pred_class,true_strength,predicted_strength,absolute_error,valid_length,raw_zero_audio_effective,raw_zero_vision_effective
102858$_$4,2,0,3.0,-0.8162921667098999,3.8162922859191895,50,0,0
241629$_$3,2,0,2.3333332538604736,-1.2019250392913818,3.5352582931518555,30,0,0
f_ZJ7L14oYQ$_$21,2,0,2.0,-1.228834629058838,3.228834629058838,24,0,0
TWszOxkOV0w$_$1,0,2,-2.3333332538604736,0.6051291227340698,2.938462257385254,40,0,0
121128$_$5,2,1,3.0,0.17193962633609772,2.8280603885650635,9,0,0
Vuay0mVKkik$_$3,0,2,-2.0,0.8055559396743774,2.805555820465088,28,0,0
f_ZJ7L14oYQ$_$27,2,0,1.6666666269302368,-1.136841893196106,2.8035085201263428,28,0,0
102858$_$6,2,1,2.6666667461395264,-0.11436670273542404,2.781033515930176,28,0,0
188343$_$13,2,0,1.0,-1.7208921909332275,2.7208921909332275,44,0,0
qmMSumMloAs$_$2,2,0,2.6666667461395264,0.17796088755130768,2.48870587348938,43,0,0
102858$_$20,2,0,2.0,-0.4842086434364319,2.484208583831787,26,0,0
130456$_$3,2,0,2.3333332538604736,-0.05865132063627243,2.391984462738037,21,0,5
