scenario,old_accuracy,old_macro_f1,old_mae,old_pearson,optimized_accuracy,optimized_macro_f1,optimized_mae,optimized_pearson,accuracy_gain,macro_f1_gain,mae_reduction
complete,0.4945054945054945,0.49166353482155173,0.7263030409812927,0.44306238420342486,0.5769230769230769,0.544898164904344,0.6778661608695984,0.5439490862040881,0.08241758241758235,0.05323463008279222,0.048436880111694336
text_front_10,0.46291208791208793,0.4615389460035195,0.7395487427711487,0.4285500309942186,0.5824175824175825,0.5533388511242806,0.6793428063392639,0.5350351849445903,0.11950549450549453,0.09179990512076108,0.060205936431884766
text_front_25,0.4684065934065934,0.46630079524439055,0.7528546452522278,0.40197960827206447,0.5673076923076923,0.5399137269045942,0.6994214057922363,0.5095361578498894,0.09890109890109888,0.0736129316602036,0.053433239459991455
text_front_40,0.4876373626373626,0.4847986045071873,0.7426358461380005,0.41091114327305267,0.5892857142857143,0.5623450186275017,0.7074735760688782,0.5029463206669587,0.10164835164835168,0.07754641412031443,0.035162270069122314
text_front_55,0.45604395604395603,0.4536810385603172,0.7671257257461548,0.36892935536053056,0.5535714285714286,0.5270646422947037,0.7381799817085266,0.45146563503159254,0.09752747252747257,0.07338360373438652,0.028945744037628174
text_front_70,0.4491758241758242,0.44239639664210184,0.7853385806083679,0.32951025885524277,0.5041208791208791,0.48875696061498153,0.757118821144104,0.4025887948895019,0.054945054945054916,0.04636056397287969,0.028219759464263916
text_middle_10,0.49175824175824173,0.4885107110731978,0.7387732267379761,0.44137270118401994,0.5906593406593407,0.5585231266306768,0.6855645775794983,0.5315106699200096,0.09890109890109894,0.070012415557479,0.05320864915847778
text_middle_25,0.47802197802197804,0.47316503582354136,0.7532060146331787,0.41465174419167883,0.5769230769230769,0.5462532513024316,0.7075628042221069,0.49674851189534935,0.09890109890109883,0.07308821547889027,0.04564321041107178
text_middle_40,0.49175824175824173,0.4860207970674521,0.7532715797424316,0.40432557035889277,0.5576923076923077,0.5312362436474358,0.7128013372421265,0.48959556475636234,0.06593406593406598,0.04521544657998372,0.040470242500305176
text_middle_55,0.45604395604395603,0.45086484593145754,0.7691885828971863,0.37286735508679464,0.5370879120879121,0.513044706432071,0.7256343960762024,0.4599538609208112,0.08104395604395603,0.06217986050061347,0.04355418682098389
text_middle_70,0.4258241758241758,0.4168088314989717,0.7692902684211731,0.31265609489408563,0.5096153846153846,0.48728776544868496,0.7492608428001404,0.40391005289459464,0.08379120879120877,0.07047893394971327,0.020029425621032715
text_back_10,0.47802197802197804,0.4723174550632346,0.741691529750824,0.42896465124697947,0.5755494505494505,0.5449631259894204,0.6848171949386597,0.5224918159710813,0.09752747252747246,0.07264567092618585,0.05687433481216431
text_back_25,0.45879120879120877,0.4541565026436829,0.7563467621803284,0.40391945717318756,0.5631868131868132,0.5343514585128292,0.6904598474502563,0.5126452019497574,0.10439560439560441,0.08019495586914627,0.06588691473007202
text_back_40,0.4574175824175824,0.4513321213684387,0.7562385201454163,0.39343142054508395,0.5398351648351648,0.5119459266117611,0.7127782702445984,0.48624940155522484,0.0824175824175824,0.06061380524332238,0.04346024990081787
text_back_55,0.44505494505494503,0.43789065323689896,0.7799489498138428,0.35520991259489065,0.5137362637362637,0.48828636216391313,0.7314020395278931,0.44726906281944284,0.06868131868131866,0.05039570892701417,0.04854691028594971
text_back_70,0.4491758241758242,0.44011782226899304,0.7820087671279907,0.3306112239283582,0.5082417582417582,0.48886787763234135,0.7432230114936829,0.4253261350227797,0.05906593406593402,0.04875005536334831,0.03878575563430786
audio_front_10,0.49313186813186816,0.48801817573558787,0.7300916314125061,0.4372039309241953,0.5782967032967034,0.5455437295666781,0.6774148344993591,0.5421222833629353,0.0851648351648352,0.057525553831090204,0.05267679691314697
audio_front_25,0.4835164835164835,0.4829479347998505,0.734025239944458,0.4328295069540697,0.5769230769230769,0.5457224388478673,0.6788046956062317,0.5379287692093561,0.09340659340659335,0.06277450404801682,0.05522054433822632
audio_front_40,0.46565934065934067,0.4657693859186396,0.7326722145080566,0.4343557356366695,0.5782967032967034,0.5488381074501969,0.6762338876724243,0.5397457408571216,0.11263736263736268,0.08306872153155731,0.056438326835632324
audio_front_55,0.4574175824175824,0.45644415078800976,0.7260584831237793,0.4392434820083616,0.5810439560439561,0.5529359861305544,0.6702964901924133,0.5412737948004492,0.12362637362637369,0.09649183534254463,0.05576199293136597
