sample_id,modality,modality_index,start_position,end_position_exclusive,masked_effective_positions,raw_zero_fraction,delta_predicted_class_probability,delta_strength
01,text,0,1,4,3,0.0,-0.03135502338409424,-0.007218837738037109
01,text,0,2,5,3,0.0,-0.03855615854263306,-0.01620030403137207
01,text,0,3,6,3,0.0,-0.06570440530776978,-0.050604015588760376
01,text,0,4,7,3,0.0,-0.058615267276763916,-0.041205912828445435
01,text,0,5,8,3,0.0,-0.04493361711502075,-0.04180401563644409
01,text,0,6,9,3,0.0,-0.01762107014656067,-0.01814204454421997
01,text,0,7,10,3,0.0,-0.013861328363418579,-0.03281867504119873
01,text,0,8,11,3,0.0,0.008945286273956299,-0.06374496221542358
01,text,0,9,12,3,0.0,0.049373477697372437,-0.0006751418113708496
01,text,0,10,13,3,0.0,0.12575024366378784,0.04058164358139038
01,text,0,11,14,3,0.0,0.1845141351222992,0.10632425546646118
01,text,0,12,15,3,0.0,0.13096028566360474,0.054783016443252563
01,text,0,13,16,3,0.0,0.08976835012435913,0.09335389733314514
01,text,0,14,17,3,0.0,0.02798771858215332,0.0117969810962677
01,text,0,15,18,3,0.0,0.04745376110076904,0.06281417608261108
01,text,0,16,19,3,0.0,0.029625803232192993,0.027605116367340088
01,text,0,17,20,3,0.0,0.03730541467666626,0.062052369117736816
01,text,0,18,21,3,0.0,0.018880009651184082,0.018484383821487427
01,text,0,19,22,3,0.0,0.004454851150512695,-0.018472135066986084
01,text,0,20,23,3,0.0,-0.016166269779205322,-0.031374335289001465
01,audio,1,1,4,3,0.0,0.02850341796875,0.034360408782958984
01,audio,1,2,5,3,0.0,0.03081303834915161,0.03705790638923645
01,audio,1,3,6,3,0.0,0.017754673957824707,0.020162463188171387
01,audio,1,4,7,3,0.0,0.005196183919906616,0.006708621978759766
01,audio,1,5,8,3,0.0,0.015735387802124023,0.021807163953781128
01,audio,1,6,9,3,0.0,0.031278133392333984,0.041202813386917114
01,audio,1,7,10,3,0.0,0.03580370545387268,0.045000314712524414
01,audio,1,8,11,3,0.0,0.026586323976516724,0.03607720136642456
01,audio,1,9,12,3,0.0,0.013109833002090454,0.020025908946990967
01,audio,1,10,13,3,0.0,-0.0008681118488311768,0.0017935633659362793
01,audio,1,11,14,3,0.0,-0.007026195526123047,-0.008242100477218628
01,audio,1,12,15,3,0.0,-0.002088308334350586,-0.0015067756175994873
01,audio,1,13,16,3,0.0,-0.0010748505592346191,0.0008880496025085449
01,audio,1,14,17,3,0.0,-0.0013492107391357422,0.0005577802658081055
01,audio,1,15,18,3,0.0,-0.0021174252033233643,-0.00024831295013427734
01,audio,1,16,19,3,0.0,-0.0038264691829681396,-0.0028461813926696777
01,audio,1,17,20,3,0.0,-0.014094024896621704,-0.017123818397521973
01,audio,1,18,21,3,0.0,-0.019803941249847412,-0.02542164921760559
01,audio,1,19,22,3,0.0,-0.020680606365203857,-0.02567911148071289
01,audio,1,20,23,3,0.0,-0.015456795692443848,-0.01835566759109497
01,vision,2,1,4,3,0.0,-0.006523787975311279,-0.009011149406433105
01,vision,2,2,5,3,0.0,-0.01945599913597107,-0.02837437391281128
01,vision,2,3,6,3,0.0,-0.02255558967590332,-0.033766210079193115
01,vision,2,4,7,3,0.0,-0.0018828809261322021,-0.0061792731285095215
